N,X,Y,Z,W
54,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
55,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
56,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
57,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
58,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
59,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
60,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
61,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
62,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
63,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
64,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
65,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
66,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
67,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
68,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
69,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
70,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
71,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
72,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
73,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
74,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
75,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
76,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
77,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
78,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
79,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
80,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
81,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
82,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
83,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
84,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
85,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
86,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
87,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
88,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
89,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
90,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
91,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
92,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
93,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
94,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
95,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
96,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
97,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
98,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
99,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
100,0.24999999999999473,0.2500000000000017,0.2500000000000018,0.2500000000000018
