M,X,Y,Z,V
200,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
205,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
210,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
215,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
220,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
225,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
230,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
235,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
240,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
245,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
250,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
255,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
260,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
265,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
270,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
275,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
280,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
285,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
290,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
295,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
300,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
305,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
310,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
315,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
320,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
325,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
330,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
335,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
340,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
345,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
350,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
355,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
360,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
365,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
370,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
375,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
380,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
385,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
390,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
395,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
400,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
405,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
410,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
415,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
420,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
425,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
430,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
435,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
440,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
445,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
450,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
455,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
460,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
465,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
470,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
475,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
480,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
485,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
490,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
495,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
500,0.28571428571428553,0.2857142857142858,0.28571428571428603,0.14285714285714268
